,text,retweet_count,favorite_count,retweeted,hour,minute,day,month,year,clean_text,length_text,positivity,negativity,neutral,compound,sentiment
0,"The drunk Min julep: put 3/2 of Vodka. Add 1/4 of lime juice, and 3/2 of Angostura bitter. Shake. 
 Enjoy it like @tim_cook.
 
 Proost !",0,0,False,5,50,2,8,2022,"The drunk Min julep: put 3/2 of Vodka. Add 1/4 of lime juice, and 3/2 of Angostura bitter. Shake.  Enjoy it like _cook.  Proost !",129,0.173,0.219,0.608,-0.126,negative
1,"RT @mysmartprice: Apple CEO Tim Cook, during the June earnings call has said that #Android users are switching to iPhones on a record numbe…",14,0,False,5,37,2,8,2022,"Apple CEO Tim Cook, during the June earnings call has said that Android users are switching to iPhones on a record numbe…",121,0.0,0.0,1.0,0.0,neutral
2,Veem@dad I'm getting married-fill survey @TIM COOK @ambassador John Campbell @bill Gates @ben Murray Bruce @Apple… https://t.co/VzdO5uBgjk,0,0,False,5,36,2,8,2022,Veem I'm getting married-fill survey  COOK  John Campbell  Gates  Murray Bruce …  ,82,0.0,0.0,1.0,0.0,neutral
3,Veem@wife!lil John is home!@TIM COOK @ambassador John Campbell @bill Gates @ben Murray Bruce @Apple @TinFoilCatClub… https://t.co/QjCitDKDha,0,0,False,5,34,2,8,2022,Veem!lil John is home! COOK  John Campbell  Gates  Murray Bruce  …  ,68,0.0,0.0,1.0,0.0,neutral
4,Veem@wife I'm home!!!!!!!!!!!! @TIM COOK @ambassador John Campbell @bill Gates @ben Murray Bruce @Apple… https://t.co/UFvlh0JfwD,0,0,False,5,32,2,8,2022,Veem I'm home!!!!!!!!!!!!  COOK  John Campbell  Gates  Murray Bruce …  ,71,0.0,0.0,1.0,0.0,neutral
5,@techbharatco @Apple @nothing @tim_cook @getpeid Truly Amazing 🤩🤩🤩 #Nothingphone1 #techbharat #giveaway #GIF #nothing #iphone #apple,0,0,False,5,31,2,8,2022,   _cook  Truly Amazing  Nothingphone1 techbharat giveaway GIF nothing iphone apple,83,0.456,0.0,0.544,0.7717,positive
6,"RT @techbharatco: Okay, I present to you Nothing iPhone (1).

@Apple + @nothing or @tim_cook + @getpeid = Nothing iPhone (1). 

#Nothingpho…",95,0,False,5,30,2,8,2022,"Okay, I present to you Nothing iPhone 1. +  or _cook +  = Nothing iPhone 1. Nothingpho…",87,0.106,0.0,0.894,0.2263,positive
7,"RT @techbharatco: @Apple @nothing @tim_cook @getpeid @Mrwhosetheboss, this very much explains what you were trying to say during your whole…",15,0,False,5,29,2,8,2022,"_cook  , this very much explains what you were trying to say during your whole…",79,0.0,0.0,1.0,0.0,neutral
8,@TaiDee475 @SlimothyTV @BOZ_ZZO @BenGeskin Ima send a message to Tim Cook. We good to release iOS 16 Beta 4 to the… https://t.co/Qkx8S7WoDJ,0,0,False,5,27,2,8,2022,  _ZZO  Ima send a message to Tim Cook. We good to release iOS 16 Beta 4 to the…  ,82,0.146,0.0,0.854,0.4404,positive
9,Veem@dad I'm getting married @TIM COOK @ambassador John Campbell @bill Gates @ben Murray Bruce @Apple… https://t.co/Ux7JStV7E1,0,0,False,5,26,2,8,2022,Veem I'm getting married  COOK  John Campbell  Gates  Murray Bruce …  ,70,0.0,0.0,1.0,0.0,neutral
10,RT @themattfriend: BREAKING: Apple CEO Tim Cook and former design leader Jony Ive LEAKED video https://t.co/157HRnVd9E,2,0,False,5,25,2,8,2022,BREAKING: Apple CEO Tim Cook and former design leader Jony Ive LEAKED video  ,77,0.0,0.202,0.798,-0.4648,negative
11,"RT @techbharatco: @Apple @nothing @tim_cook @getpeid @Mrwhosetheboss, this very much explains what you were trying to say during your whole…",15,0,False,5,24,2,8,2022,"_cook  , this very much explains what you were trying to say during your whole…",79,0.0,0.0,1.0,0.0,neutral
12,"RT @mysmartprice: Apple CEO Tim Cook, during the June earnings call has said that #Android users are switching to iPhones on a record numbe…",14,0,False,5,23,2,8,2022,"Apple CEO Tim Cook, during the June earnings call has said that Android users are switching to iPhones on a record numbe…",121,0.0,0.0,1.0,0.0,neutral
13,Veem @dad I'm getting married @TIM COOK GOLD @ambassador John Campbell @bill Gates @josef besos @ben Murray Bruce… https://t.co/1w18qEgbI1,0,0,False,5,22,2,8,2022,Veem  I'm getting married  COOK GOLD  John Campbell  Gates  besos  Murray Bruce…  ,82,0.0,0.0,1.0,0.0,neutral
14,"RT @espiegler: @lisapjackson Lisa, maybe you can explain, then, why @Apple CEO Tim Cook is on the board of @BizRoundtable, which is involve…",6,0,False,4,57,2,8,2022,"Lisa, maybe you can explain, then, why  CEO Tim Cook is on the board of , which is involve…",91,0.0,0.0,1.0,0.0,neutral
15,"RT @techbharatco: Okay, I present to you Nothing iPhone (1).

@Apple + @nothing or @tim_cook + @getpeid = Nothing iPhone (1). 

#Nothingpho…",95,0,False,4,49,2,8,2022,"Okay, I present to you Nothing iPhone 1. +  or _cook +  = Nothing iPhone 1. Nothingpho…",87,0.106,0.0,0.894,0.2263,positive
16,@techbharatco @Apple @nothing @tim_cook @getpeid Cool and unique concept 😁,0,0,False,4,48,2,8,2022,   _cook  Cool and unique concept ,34,0.365,0.0,0.635,0.3182,positive
17,@tim_cook make the ios16 let me put a gif and video on wallpaper by the end of week,0,0,False,4,45,2,8,2022,_cook make the ios16 let me put a gif and video on wallpaper by the end of week,79,0.0,0.0,1.0,0.0,neutral
18,@TansuYegen @elonmusk @torybruno @tim_cook @Apple @engineers_feed @FiskerInc @DJIGlobal @Peter_J_Beck… https://t.co/D5XSdibAzw,0,0,False,4,42,2,8,2022,   _cook  _feed   _J_Beck…  ,28,0.0,0.0,1.0,0.0,neutral
19,@ianzelbo Nah jet black of iPhone 8 take the 👑 for me it so sophisticated yet luxuriously beautiful wish it comes b… https://t.co/7J5LIt6Tav,0,0,False,4,39,2,8,2022, Nah jet black of iPhone 8 take the  for me it so sophisticated yet luxuriously beautiful wish it comes b…  ,108,0.392,0.049,0.559,0.896,positive
20,"RT @techbharatco: Okay, I present to you Nothing iPhone (1).

@Apple + @nothing or @tim_cook + @getpeid = Nothing iPhone (1). 

#Nothingpho…",95,0,False,4,37,2,8,2022,"Okay, I present to you Nothing iPhone 1. +  or _cook +  = Nothing iPhone 1. Nothingpho…",87,0.106,0.0,0.894,0.2263,positive
21,"RT @techbharatco: @Apple @nothing @tim_cook @getpeid @Mrwhosetheboss, this very much explains what you were trying to say during your whole…",15,0,False,4,37,2,8,2022,"_cook  , this very much explains what you were trying to say during your whole…",79,0.0,0.0,1.0,0.0,neutral
22,"RT @mysmartprice: Apple CEO Tim Cook, during the June earnings call has said that #Android users are switching to iPhones on a record numbe…",14,0,False,4,35,2,8,2022,"Apple CEO Tim Cook, during the June earnings call has said that Android users are switching to iPhones on a record numbe…",121,0.0,0.0,1.0,0.0,neutral
23,"RT @techbharatco: Okay, I present to you Nothing iPhone (1).

@Apple + @nothing or @tim_cook + @getpeid = Nothing iPhone (1). 

#Nothingpho…",95,0,False,4,23,2,8,2022,"Okay, I present to you Nothing iPhone 1. +  or _cook +  = Nothing iPhone 1. Nothingpho…",87,0.106,0.0,0.894,0.2263,positive
24,"RT @mysmartprice: Apple CEO Tim Cook, during the June earnings call has said that #Android users are switching to iPhones on a record numbe…",14,0,False,4,14,2,8,2022,"Apple CEO Tim Cook, during the June earnings call has said that Android users are switching to iPhones on a record numbe…",121,0.0,0.0,1.0,0.0,neutral
25,"""Find My"" AirPods is a complete joke of a feature, I'd have better luck asking a Magic 8 Ball where to look.

Hey… https://t.co/HSsVVZn4xY",0,1,False,4,6,2,8,2022,"""Find My"" AirPods is a complete joke of a feature, I'd have better luck asking a Magic 8 Ball where to look.Hey…  ",114,0.299,0.0,0.701,0.7964,positive
26,RT @Inc: Time management is out. Energy management is in. @NickMHobson https://t.co/0bdfjCqggz,10,0,False,4,5,2,8,2022,Time management is out. Energy management is in.   ,51,0.231,0.0,0.769,0.2732,positive
27,"RT @prosar84: @Apple @AppleSupport @tim_cook Did u know that iwatch is irreparable in India if screen got a crack (even if it’s 1 day old),…",1,0,False,4,5,2,8,2022,"_cook Did u know that iwatch is irreparable in India if screen got a crack even if it’s 1 day old,…",99,0.0,0.0,1.0,0.0,neutral
28,@Apple @AppleSupport @tim_cook Did u know that iwatch is irreparable in India if screen got a crack (even if it’s 1… https://t.co/FHmKXy6IaH,1,0,False,4,3,2,8,2022,  _cook Did u know that iwatch is irreparable in India if screen got a crack even if it’s 1…  ,94,0.0,0.0,1.0,0.0,neutral
29,"Business Roundtable has lost the plot, prioritizing tax gimmicks over investments that will reduce carbon emissions… https://t.co/NtIxUENvRw",0,2,False,4,2,2,8,2022,"Business Roundtable has lost the plot, prioritizing tax gimmicks over investments that will reduce carbon emissions…  ",118,0.0,0.133,0.867,-0.3182,negative
30,Dear #LADodgers - I will give all my money to Tim Cook for Macs this year if you give most of your money to… https://t.co/MWdInPsVkE,0,2,False,4,1,2,8,2022,Dear LADodgers - I will give all my money to Tim Cook for Macs this year if you give most of your money to…  ,109,0.102,0.0,0.898,0.3818,positive
31,@AppleSupport @Apple @tim_cook Why Hasn’t This Been Addressed Yet? #HorribleCustomerServiceOnPhone… https://t.co/hZECIU3DMt,0,0,False,3,57,2,8,2022,  _cook Why Hasn’t This Been Addressed Yet? HorribleCustomerServiceOnPhone…  ,77,0.0,0.0,1.0,0.0,neutral
32,"They tried to frame this incident on the intelligence agents.
@EmmanuelMacron @BorisJohnson @Bundeskanzler… https://t.co/GdtswWeicq",0,0,False,3,57,2,8,2022,They tried to frame this incident on the intelligence agents.  …  ,66,0.237,0.0,0.763,0.4767,positive
33,@JuddLegum @USChamber @tim_cook Has anyone actually read the bill? Billions to an industry that are already OVER th… https://t.co/KU4NqzYWwD,0,0,False,3,50,2,8,2022,  _cook Has anyone actually read the bill? Billions to an industry that are already OVER th…  ,94,0.0,0.0,1.0,0.0,neutral
34,"RT @climatefuturist: Hey @tim_cook @Apple $aapl - is this true? We strongly support the #IRA and if this is true, we’re angry. #ClimateActi…",2,0,False,3,49,2,8,2022,"Hey _cook  aapl - is this true? We strongly support the IRA and if this is true, we’re angry. ClimateActi…",106,0.372,0.113,0.515,0.7615,positive
35,@billmckibben @BizRoundtable @USChamber @GM @Apple You know when the US economy was going strong? When corporate ta… https://t.co/EmouBtSk34,0,3,False,3,46,2,8,2022,     You know when the US economy was going strong? When corporate ta…  ,72,0.231,0.0,0.769,0.5106,positive
36,@tim_cook 🙏🏻 thank you my dear.,0,0,False,3,44,2,8,2022,_cook  thank you my dear.,25,0.63,0.0,0.37,0.6249,positive
37,"RT @climatefuturist: Hey @tim_cook @Apple $aapl - is this true? We strongly support the #IRA and if this is true, we’re angry. #ClimateActi…",2,0,False,3,43,2,8,2022,"Hey _cook  aapl - is this true? We strongly support the IRA and if this is true, we’re angry. ClimateActi…",106,0.372,0.113,0.515,0.7615,positive
38,"""Let your joy be in your journey - not in some distant goal."" - Tim Cook

Follow us on Social Media,… https://t.co/aZLC5mAiC1",0,0,False,3,41,2,8,2022,"""Let your joy be in your journey - not in some distant goal."" - Tim CookFollow us on Social Media,…  ",101,0.167,0.0,0.833,0.5859,positive
39,You can focus on things that are barriers or you can focus on scaling the wall or redefining the problem — Tim Cook,0,0,False,3,38,2,8,2022,You can focus on things that are barriers or you can focus on scaling the wall or redefining the problem — Tim Cook,115,0.0,0.109,0.891,-0.4019,negative
40,"RT @mysmartprice: Apple CEO Tim Cook, during the June earnings call has said that #Android users are switching to iPhones on a record numbe…",14,0,False,3,32,2,8,2022,"Apple CEO Tim Cook, during the June earnings call has said that Android users are switching to iPhones on a record numbe…",121,0.0,0.0,1.0,0.0,neutral
41,RT @nyc_sumon_zia: @peterthiel @tim_cook @sajeebwazed @zapalak @mustafajabbar @ictdivision #Why #Not the @PayPal @Apple is in #Bangladesh…,4,0,False,3,31,2,8,2022,_sumon_zia:  _cook     Why Not the   is in Bangladesh…,54,0.0,0.0,1.0,0.0,neutral
42,@tim_cook Nice 😊,0,0,False,3,30,2,8,2022,_cook Nice ,11,0.737,0.0,0.263,0.4215,positive
43,"RT @net7654321: #BOYCOTTApple REMOVE 
UN TRUTHSocial fm AppStore
@POTUS
#MerrickGarland
☎️ UN TRUTHSocial
     Disinfo
@DOJCrimDiv
@FBI 800…",4,0,False,3,30,2,8,2022,BOYCOTTApple REMOVE UN TRUTHSocial fm AppStoreMerrickGarland UN TRUTHSocial     Disinfo 800…,92,0.0,0.0,1.0,0.0,neutral
44,"RT @techbharatco: @Apple @nothing @tim_cook @getpeid @Mrwhosetheboss, this very much explains what you were trying to say during your whole…",15,0,False,3,30,2,8,2022,"_cook  , this very much explains what you were trying to say during your whole…",79,0.0,0.0,1.0,0.0,neutral
45,"RT @net7654321: #BOYCOTTApple REMOVE 
UN TRUTHSocial fm AppStore
@POTUS
#MerrickGarland
☎️ UN TRUTHSocial
     Disinfo
@DOJCrimDiv
@FBI 800…",4,0,False,3,29,2,8,2022,BOYCOTTApple REMOVE UN TRUTHSocial fm AppStoreMerrickGarland UN TRUTHSocial     Disinfo 800…,92,0.0,0.0,1.0,0.0,neutral
46,"RT @350BKFamilies: And this: @Tim_Cook needs to sit Jamie Dimon down and say ""BRO!!!"" How can @Apple meet net-zero targets if asset manager…",1,0,False,3,29,2,8,2022,"And this: _Cook needs to sit Jamie Dimon down and say ""BRO!!!"" How can  meet net-zero targets if asset manager…",111,0.151,0.0,0.849,0.5229,positive
47,"Hey @tim_cook @Apple $aapl - is this true? We strongly support the #IRA and if this is true, we’re angry.… https://t.co/qGBYrDb9Xy",2,5,False,3,29,2,8,2022,"Hey _cook  aapl - is this true? We strongly support the IRA and if this is true, we’re angry.…  ",96,0.42,0.0,0.58,0.8705,positive
48,"RT @net7654321: #BOYCOTTApple REMOVE 
UN TRUTHSocial fm AppStore
@POTUS
#MerrickGarland
☎️ UN TRUTHSocial
     Disinfo
@DOJCrimDiv
@FBI 800…",4,0,False,3,24,2,8,2022,BOYCOTTApple REMOVE UN TRUTHSocial fm AppStoreMerrickGarland UN TRUTHSocial     Disinfo 800…,92,0.0,0.0,1.0,0.0,neutral
49,@tim_cook apple has a big mistake in apple privacy # data,0,0,False,3,22,2,8,2022,_cook apple has a big mistake in apple privacy  data,52,0.0,0.211,0.789,-0.34,negative
50,@Apple’s Tim Cook. Help a brother out. https://t.co/kKcloipD3V,0,0,False,3,20,2,8,2022,’s Tim Cook. Help a brother out.  ,34,0.31,0.0,0.69,0.4019,positive
51,"@Apple CEO @tim_cook, really? 😞☹️😫😟😠 https://t.co/nRKlB8Iftu",0,0,False,3,19,2,8,2022," CEO _cook, really?   ",22,0.0,0.0,1.0,0.0,neutral
